Asset Symbol,Asset Class,Asset Sub-Class,Asset Sector
FTXL,Equity,US - All Cap Equities,Technology
NOCT,Equity,Global - Global Equities,
GURU,Equity,US - Large Cap Growth Equities,
RFV,Equity,US - Mid Cap Value Equities,
HLAL,Equity,US - Large Cap Growth Equities,
DALT,Multi-Asset,Diversified Portfolio,
EWUS,Equity,Global - Developed Markets Equities - Canada & Europe,
VFMO,Equity,US - All Cap Equities,
BKMC,Equity,US - Mid Cap Growth Equities,
FNGS,Equity,US - Large Cap Growth Equities,
BSCT,Bond,US - Corporate Bonds,
HYGH,Bond,US - High Yield Bonds,
MUST,Bond,Money Market,
OMFS,Equity,US - Small Cap Value Equities,
SQEW,Equity,Global - Global Equities,
BKSE,Equity,US - Small Cap Growth Equities,
HDGE,Inverse Equity,Inverse Equities,Industrials
DEW,Equity,US - Large Cap Value Equities,
BSJQ,Bond,US - Corporate Bonds,
IAK,Equity,US - All Cap Equities,Financials
VFMF,Equity,US - All Cap Equities,
DRN,Leveraged Real Estate,Leveraged Real Estate,Real Estate
RYE,Equity,US - Large Cap Blend Equities,Energy
SJB,Inverse Debt,Inverse Bonds,
SPYC,Equity,US - Large Cap Growth Equities,
FTHI,Equity,US - Large Cap Growth Equities,
TCHP,Equity,US - Large Cap Growth Equities,
CALF,Equity,US - Small Cap Value Equities,
HEWG,Equity,Global - Developed Markets Equities - Canada & Europe,
BAPR,Equity,US - Large Cap Blend Equities,
UTRN,Equity,US - Large Cap Blend Equities,
GMOM,Multi-Asset,Hedge Fund,
PSCI,Equity,US - Small Cap Blend Equities,Industrials
PYZ,Equity,US - All Cap Equities,Materials
SZNE,Equity,US - Large Cap Growth Equities,
PFFR,Preferred Stock,Preferred Stock/Convertible Bonds,
FISR,Bond,US - Total Bond Market,
CEFS,Multi-Asset,Diversified Portfolio,
VFQY,Equity,US - All Cap Equities,
JIGB,Bond,US - Corporate Bonds,
FLBL,Bond,US - High Yield Bonds,
IBMQ,Bond,US - Short Term Government Bonds,
PTEU,Multi-Asset,Global - Developed Markets Equities - Canada & Europe,
XMVM,Equity,US - Mid Cap Value Equities,
TPOR,Leveraged Equity,Leveraged Equities,Industrials
VFMV,Equity,US - All Cap Equities,
XTL,Equity,US - All Cap Equities,Telecom
BKAG,Bond,US - Total Bond Market,
WFIG,Bond,US - Corporate Bonds,
DALI,Equity,US - All Cap Equities,
PXQ,Equity,US - All Cap Equities,Technology
PFIG,Bond,US - Corporate Bonds,
IBDV,Bond,US - Corporate Bonds,
HIBL,Leveraged Equity,Leveraged Equities,
PUI,Equity,US - All Cap Equities,Utilities
KOCT,Equity,Global - Global Equities,
EWO,Equity,Global - Developed Markets Equities - Canada & Europe,
PWS,Multi-Asset,Diversified Portfolio,
FNGD,Inverse Equity,Inverse Equities,
BBSA,Bond,US - Short Term Government Bonds,
XRLV,Equity,US - Large Cap Blend Equities,
WBIG,Equity,US - Large Cap Blend Equities,
DFND,Equity,Long-Short,
ARCM,Bond,Global - Corporate Bonds,
BBC,Equity,US - Small Cap Growth Equities,Healthcare
AESR,Equity,US - Large Cap Growth Equities,
CNCR,Equity,Global - Global Equities,Healthcare
PBS,Equity,US - All Cap Equities,Consumer Discretionary
PEZ,Equity,US - All Cap Equities,Consumer Discretionary
LKOR,Bond,US - Corporate Bonds,
PHYL,Bond,US - High Yield Bonds,
NETL,Real Estate,US - Real Estate,Real Estate
RETL,Leveraged Equity,Leveraged Equities,Consumer Discretionary
DBLV,Equity,US - Large Cap Blend Equities,
WEBL,Leveraged Equity,Leveraged Equities,
CSF,Equity,US - Small Cap Blend Equities,
KLDW,Equity,Global - Developed Markets Equities,
VMOT,Equity,Global - Global Equities,Healthcare
KCE,Equity,US - All Cap Equities,Financials
PVI,Bond,US - Municipal Bonds,
BDCZ,Equity,US - All Cap Equities,Financials
WBIL,Equity,US - Large Cap Blend Equities,Consumer Staples
HYDB,Bond,US - High Yield Bonds,
WBIY,Equity,US - All Cap Equities,
NUSA,Bond,US - Short Term Government Bonds,
ROOF,Real Estate,US - Real Estate,Real Estate
UBT,Leveraged Debt,Leveraged Bonds,
UYM,Leveraged Equity,Leveraged Equities,Materials
HOMZ,Equity,US - All Cap Equities,Materials
IBMP,Bond,US - Municipal Bonds,
SPUS,Equity,US - Large Cap Growth Equities,
FBCV,Equity,US - Large Cap Blend Equities,
CIZ,Equity,Global - Developed Markets Equities,
UMDD,Leveraged Equity,Leveraged Equities,
THY,Bond,US - High Yield Bonds,
SSPY,Equity,US - Large Cap Blend Equities,
EUDG,Equity,Global - Developed Markets Equities - Canada & Europe,
TRND,Equity,US - Large Cap Blend Equities,
FMF,Alternatives,Hedge Fund,
SHYL,Bond,US - Short Term Government Bonds,
DURA,Equity,US - Large Cap Blend Equities,
ROMO,Multi-Asset,Hedge Fund,
DIVB,Equity,US - Large Cap Blend Equities,
UJUL,Equity,US - Large Cap Blend Equities,
DBMF,Alternatives,Hedge Fund,
NORW,Equity,Global - Developed Markets Equities - Canada & Europe,
KBWR,Equity,US - All Cap Equities,Financials
EVX,Equity,US - All Cap Equities,Industrials
EWK,Equity,Global - Developed Markets Equities - Canada & Europe,
LEAD,Equity,US - Large Cap Growth Equities,
UFO,Equity,Global - Global Equities,
VXZ,Volatility,Volatility,
GTIP,Bond,US - Inflation-Protected Bonds,
DUSL,Leveraged Equity,Leveraged Equities,Industrials
BNKU,Leveraged Equity,Leveraged Equities,Financials
WBIF,Equity,US - Large Cap Blend Equities,Telecom
SPVM,Equity,US - Large Cap Value Equities,
MTGP,Bond,Mortgage Backed Securities,
FNK,Equity,US - Mid Cap Value Equities,
SIXS,Equity,US - Small Cap Blend Equities,
SPXB,Bond,US - Corporate Bonds,
FSMD,Equity,US - Small Cap Growth Equities,
PFI,Equity,US - All Cap Equities,Financials
ERY,Inverse Equity,Inverse Equities,Energy
VEGN,Equity,US - Large Cap Growth Equities,
BKHY,Bond,US - High Yield Bonds,
FCEF,Multi-Asset,Diversified Portfolio,
PSCC,Equity,US - Small Cap Blend Equities,Consumer Staples
UST,Leveraged Debt,Leveraged Bonds,
FLMI,Bond,US - Municipal Bonds,
HYDW,Bond,US - High Yield Bonds,
CHGX,Equity,US - Large Cap Growth Equities,Energy
VLU,Equity,US - Large Cap Blend Equities,
RYLD,Multi-Asset,Hedge Fund,
FOVL,Equity,US - All Cap Equities,
BJUN,Equity,US - Large Cap Blend Equities,
TPSC,Equity,US - Small Cap Blend Equities,
OVM,Bond,US - Municipal Bonds,
SFIG,Bond,US - Corporate Bonds,
BBP,Equity,US - All Cap Equities,Healthcare
DEEP,Equity,US - All Cap Equities,
LFEQ,Equity,US - Large Cap Growth Equities,
PSET,Equity,US - Large Cap Growth Equities,
DRV,Inverse Real Estate,Leveraged Real Estate,Real Estate
HDG,Alternatives,Long-Short,
FLQM,Equity,US - All Cap Equities,
PSCE,Equity,US - Small Cap Blend Equities,Energy
SRS,Inverse Real Estate,Leveraged Real Estate,Real Estate
UTES,Equity,US - All Cap Equities,Utilities
TTT,Leveraged Debt,Leveraged Bonds,
EFNL,Equity,Global - Developed Markets Equities - Canada & Europe,
UAPR,Equity,US - Large Cap Blend Equities,
GSIG,Bond,US - Corporate Bonds,
LGOV,Bond,Mortgage Backed Securities,
UCC,Leveraged Equity,Leveraged Equities,Consumer Discretionary
PSCF,Equity,US - Small Cap Blend Equities,Financials
DDIV,Equity,US - All Cap Equities,
PSCD,Equity,US - Small Cap Blend Equities,Consumer Discretionary
LRNZ,Equity,US - Large Cap Growth Equities,Technology
SAA,Leveraged Equity,Leveraged Equities,
RDOG,Real Estate,US - Real Estate,Real Estate
TGRW,Equity,US - Large Cap Growth Equities,
XSHQ,Equity,US - Small Cap Growth Equities,
SPDV,Equity,US - Large Cap Value Equities,
HTUS,Alternatives,Long-Short,
PST,Leveraged Debt,Leveraged Bonds,
XSHD,Equity,US - Small Cap Blend Equities,
IEDI,Equity,US - All Cap Equities,Consumer Discretionary
FLSW,Equity,Global - Developed Markets Equities - Canada & Europe,
SMCP,Equity,US - Small Cap Blend Equities,
NURE,Real Estate,US - Real Estate,Real Estate
IBTJ,Bond,US - Short Term Government Bonds,
QRFT,Equity,US - Large Cap Growth Equities,
DEED,Bond,Mortgage Backed Securities,
SKF,Inverse Equity,Inverse Equities,Financials
EWCO,Equity,US - Large Cap Blend Equities,Telecom
RNLC,Equity,US - Large Cap Blend Equities,
ZIG,Equity,US - Large Cap Blend Equities,Financials
TMDV,Equity,US - All Cap Equities,
LSST,Bond,US - Total Bond Market,
FTXH,Equity,US - All Cap Equities,Healthcare
TEQI,Equity,US - Large Cap Value Equities,
CWS,Equity,US - Large Cap Growth Equities,
UXI,Leveraged Equity,Leveraged Equities,Industrials
IBTG,Bond,US - Long Term Government Bonds,
ENOR,Equity,Global - Developed Markets Equities - Canada & Europe,
HIPS,Multi-Asset,Diversified Portfolio,
FMIL,Equity,US - Large Cap Blend Equities,
RORO,Equity,US - Large Cap Growth Equities,
CSA,Equity,US - Small Cap Blend Equities,
VPC,Equity,US - Small Cap Blend Equities,Financials
OEUR,Equity,Global - Developed Markets Equities - Canada & Europe,
SIMS,Equity,Global - Global Equities,Materials
EWRE,Real Estate,US - Real Estate,Real Estate
BSMQ,Bond,US - Municipal Bonds,
DBEH,Multi-Asset,Long-Short,
PXI,Equity,US - All Cap Equities,Energy
SPXE,Equity,US - Large Cap Growth Equities,Energy
BSMO,Bond,US - Municipal Bonds,
SPUU,Leveraged Equity,Leveraged Equities,
ALTY,Multi-Asset,US - Small Cap Blend Equities,
PSCU,Equity,US - Small Cap Growth Equities,Utilities
LQDI,Bond,US - Inflation-Protected Bonds,
PEX,Equity,US - All Cap Equities,Financials
MYY,Inverse Equity,Inverse Equities,
PBUS,Equity,US - Large Cap Growth Equities,
KOIN,Equity,US - All Cap Equities,Technology
BETZ,Equity,US - All Cap Equities,Consumer Discretionary
NACP,Equity,US - Large Cap Growth Equities,
WANT,Leveraged Equity,Leveraged Equities,Consumer Discretionary
NULC,Equity,US - Large Cap Growth Equities,
FKU,Equity,Global - Developed Markets Equities - Canada & Europe,
SFYX,Equity,US - Small Cap Growth Equities,
TBX,Inverse Debt,Inverse Bonds,
BSMP,Bond,US - Municipal Bonds,
FTXN,Equity,US - All Cap Equities,Energy
PILL,Leveraged Equity,Leveraged Equities,Healthcare
BSMR,Bond,US - Municipal Bonds,
NFLT,Bond,US - Total Bond Market,
DUG,Inverse Equity,Inverse Equities,Energy
PXE,Equity,US - All Cap Equities,Energy
TYD,Leveraged Debt,Leveraged Bonds,
FITE,Equity,US - Small Cap Growth Equities,Industrials
PAMC,Equity,US - Mid Cap Growth Equities,
UTSL,Leveraged Equity,Leveraged Equities,Utilities
IBHE,Bond,US - High Yield Bonds,
SSLY,Equity,US - Small Cap Blend Equities,
PY,Equity,US - All Cap Equities,
TUSA,Equity,US - All Cap Equities,
REK,Real Estate,US - Real Estate,Real Estate
PALC,Equity,US - Large Cap Growth Equities,
DVLU,Equity,US - All Cap Equities,
ESHY,Bond,US - Corporate Bonds,
IBTF,Bond,US - Long Term Government Bonds,
BSJR,Bond,US - Corporate Bonds,
SEF,Inverse Equity,Inverse Equities,Financials
GOVZ,Bond,US - Long Term Government Bonds,
BILS,Bond,US - Short Term Government Bonds,
UJUN,Equity,US - Large Cap Blend Equities,
RAAX,Multi-Asset,Diversified Portfolio,
RNMC,Equity,US - Small Cap Blend Equities,
IBTI,Bond,US - Long Term Government Bonds,
IBTH,Bond,US - Long Term Government Bonds,
YLDE,Equity,US - Large Cap Growth Equities,
HSMV,Equity,US - Small Cap Blend Equities,
SQLV,Equity,US - Small Cap Blend Equities,
UJB,Leveraged Debt,Leveraged Bonds,
DBGR,Equity,Global - Developed Markets Equities - Canada & Europe,
IBTE,Bond,US - Long Term Government Bonds,
PBTP,Bond,US - Short Term Government Bonds,
WOMN,Equity,US - Large Cap Growth Equities,
VEGA,Multi-Asset,Global - Global Equities,
FLQS,Equity,US - Small Cap Growth Equities,
MARB,Alternatives,Long-Short,
HYTR,Bond,US - High Yield Bonds,
UPW,Leveraged Equity,Leveraged Equities,Utilities
BSCU,Bond,US - Corporate Bonds,
IBHD,Bond,US - High Yield Bonds,
RAFE,Multi-Asset,US - Large Cap Blend Equities,
VAMO,Alternatives,US - Small Cap Blend Equities,
ROKT,Equity,US - All Cap Equities,Industrials
UGE,Leveraged Equity,Leveraged Equities,Consumer Staples
SDVY,Equity,US - Small Cap Blend Equities,
PSMD,Equity,US - Large Cap Blend Equities,
SEPZ,Equity,US - Large Cap Blend Equities,
BIS,Inverse Equity,Inverse Equities,Healthcare
MAGA,Equity,US - Large Cap Blend Equities,
RNSC,Equity,US - Small Cap Blend Equities,
PSCM,Equity,US - Small Cap Blend Equities,Materials
XJH,Equity,US - Mid Cap Growth Equities,
HYUP,Bond,US - High Yield Bonds,
FLEH,Equity,Global - Developed Markets Equities - Canada & Europe,
BOUT,Equity,US - All Cap Equities,
HELX,Equity,US - All Cap Equities,Healthcare
AUGZ,Equity,US - Large Cap Blend Equities,
PFLD,Multi-Asset,Preferred Stock/Convertible Bonds,
PXJ,Equity,US - All Cap Equities,Energy
EUDV,Equity,Global - Developed Markets Equities - Canada & Europe,
ROSC,Equity,US - Small Cap Blend Equities,
MRGR,Alternatives,Hedge Fund,
BSMS,Bond,US - Municipal Bonds,
SMDD,Inverse Equity,Inverse Equities,
VNMC,Equity,US - Mid Cap Blend Equities,
BSJS,Bond,US - Corporate Bonds,
FLGR,Equity,Global - Developed Markets Equities - Canada & Europe,
SBB,Inverse Equity,Inverse Equities,
RINF,Bond,US - Inflation-Protected Bonds,
XVV,Equity,US - Large Cap Growth Equities,
SFYF,Equity,US - Large Cap Growth Equities,
TYO,Inverse Debt,Leveraged Bonds,
XJR,Equity,US - Small Cap Blend Equities,
JULZ,Equity,US - Large Cap Blend Equities,
QDIV,Equity,US - Large Cap Blend Equities,
ARB,Alternatives,Hedge Fund,
MID,Equity,US - Large Cap Growth Equities,
BOSS,Equity,Global - Global Equities,
RNDV,Equity,US - Large Cap Blend Equities,
REW,Inverse Equity,Inverse Equities,Technology
ARMR,Equity,US - Large Cap Growth Equities,Technology
SPXN,Equity,US - Large Cap Growth Equities,Financials
AMOM,Equity,US - Large Cap Growth Equities,
ESGS,Equity,US - All Cap Equities,
RTAI,Bond,US - Municipal Bonds,
VIRS,Equity,US - Large Cap Growth Equities,Healthcare
BSMT,Bond,US - Municipal Bonds,
BSMU,Bond,US - Municipal Bonds,
SPXT,Equity,US - Large Cap Growth Equities,Technology
STLG,Equity,US - Large Cap Growth Equities,
AFLG,Equity,US - Large Cap Growth Equities,
QYLG,Equity,US - Large Cap Growth Equities,
SPMV,Equity,US - Large Cap Growth Equities,
IQM,Equity,US - Large Cap Growth Equities,Technology
FLRG,Equity,US - Large Cap Growth Equities,
EAOM,Multi-Asset,Diversified Portfolio,
EAOK,Multi-Asset,Diversified Portfolio,
ADFI,Bond,US - Total Bond Market,
SSG,Inverse Equity,Inverse Equities,Technology
FCPI,Equity,US - Large Cap Growth Equities,
OVS,Equity,US - Small Cap Blend Equities,
DWAT,Multi-Asset,Diversified Portfolio,
SDD,Inverse Equity,Inverse Equities,
ECLN,Equity,US - All Cap Equities,Utilities
BUL,Equity,US - All Cap Equities,
MZZ,Inverse Equity,Inverse Equities,
CBLS,Alternatives,Long-Short,
INDF,Equity,Global - Emerging Markets Equities - Asia,Financials
XYLG,Multi-Asset,Global - Global Equities,
FLUD,Bond,US - Corporate Bonds,
IBTK,Bond,US - Long Term Government Bonds,
MMLG,Equity,US - Large Cap Growth Equities,
FTXG,Equity,US - All Cap Equities,Consumer Staples
SMN,Inverse Equity,Inverse Equities,Materials
AFSM,Equity,US - Small Cap Growth Equities,
AFMC,Equity,US - Small Cap Blend Equities,
CBSE,Equity,US - All Cap Equities,
SDP,Inverse Equity,Inverse Equities,Utilities
BNKD,Inverse Equity,Inverse Equities,Financials
PEXL,Equity,US - All Cap Equities,
RXD,Inverse Equity,Inverse Equities,Healthcare
EQRR,Equity,US - All Cap Equities,
PFFV,Preferred Stock,Preferred Stock/Convertible Bonds,
SIJ,Inverse Equity,Inverse Equities,Industrials
LTL,Leveraged Equity,Leveraged Equities,Telecom
BUYZ,Equity,US - Large Cap Growth Equities,Consumer Discretionary
SZK,Inverse Equity,Inverse Equities,Consumer Staples
REVS,Equity,US - Large Cap Blend Equities,
IEUS,Equity,Global - Developed Markets Equities - Canada & Europe,Technology
XHS,Equity,US - All Cap Equities,Healthcare
TOTL,Bond,US - Total Bond Market,
FAS,Leveraged Equity,Leveraged Equities,Financials
DXD,Inverse Equity,Inverse Equities,
EQL,Equity,US - Large Cap Blend Equities,
XMPT,Bond,US - Total Bond Market,
PRN,Equity,US - All Cap Equities,Industrials
JXI,Equity,Global - Global Equities,Utilities
FXN,Equity,US - All Cap Equities,Energy
IBDQ,Bond,US - Corporate Bonds,
MVV,Leveraged Equity,Leveraged Equities,
IAI,Equity,US - All Cap Equities,Financials
FBGX,Leveraged Equity,Leveraged Equities,
QVAL,Equity,US - All Cap Equities,
QQXT,Equity,US - Large Cap Growth Equities,Technology
DIVO,Equity,US - Large Cap Blend Equities,
TPLC,Equity,US - Mid Cap Growth Equities,
BSCS,Bond,US - Corporate Bonds,
IGEB,Bond,US - Corporate Bonds,
BTEC,Equity,US - All Cap Equities,Healthcare
ENTR,Equity,US - Large Cap Growth Equities,
VFVA,Equity,US - All Cap Equities,
SPDN,Inverse Equity,Inverse Equities,
EMNT,Bond,US - Short Term Government Bonds,
USMF,Equity,US - All Cap Equities,
DFNL,Equity,US - All Cap Equities,Financials
GVIP,Real Estate,US - Large Cap Growth Equities,
IUS,Equity,US - Large Cap Blend Equities,
NUSI,Equity,US - Large Cap Growth Equities,
JSMD,Equity,US - All Cap Equities,
ATMP,Equity,US - All Cap Equities,Energy
AMZA,Equity,US - All Cap Equities,Energy
QQH,Equity,US - All Cap Equities,Technology
AUSF,Equity,US - All Cap Equities,
SHAG,Bond,US - Short Term Government Bonds,
NUMV,Equity,US - Mid Cap Blend Equities,
JMOM,Equity,US - Large Cap Growth Equities,
STOT,Bond,US - Short Term Government Bonds,
EUSB,Bond,US - Total Bond Market,
LDSF,Bond,US - Corporate Bonds,
BUG,Equity,Global - Global Equities,Technology
VSMV,Equity,US - Large Cap Value Equities,
BKLC,Equity,US - Large Cap Growth Equities,
SFY,Equity,US - Large Cap Growth Equities,
FMHI,Bond,US - Municipal Bonds,
INDS,Real Estate,US - Real Estate,Real Estate
CCOR,Equity,US - Large Cap Growth Equities,
DGRS,Equity,US - Small Cap Blend Equities,
DWAW,Equity,US - Large Cap Growth Equities,
SSUS,Equity,US - Large Cap Growth Equities,
LABD,Inverse Equity,Inverse Equities,Healthcare
TAN,Equity,Global - Global Equities,Energy
PBD,Equity,Global - Global Equities,Energy
FAN,Equity,Global - Global Equities,Energy
NLR,Equity,US - All Cap Equities,Energy
VICE,Equity,US - All Cap Equities,
BJK,Equity,US - All Cap Equities,Consumer Discretionary
URA,Equity,Global - Global Equities,Materials
KOLD,Inverse Commodities,Inverse Commodities,
IDRV,Equity,Global - Developed Markets Equities,Technology
CARZ,Equity,Global - Global Equities,Consumer Discretionary
GII,Equity,Global - Global Equities,Utilities
COPX,Equity,Global - Global Equities,Materials
SLX,Equity,US - All Cap Equities,Materials
WOOD,Equity,Global - Developed Markets Equities,Materials
HAP,Equity,US - All Cap Equities,Materials
GDXJ,Equity,Global - Global Equities,Materials
BLOK,Equity,Global - Developed Markets Equities,Technology
SOCL,Equity,Global - Global Equities,Technology
ESPO,Equity,Global - Developed Markets Equities,Consumer Discretionary
NXTG,Equity,Global - Developed Markets Equities,Telecom
GRID,Equity,Global - Developed Markets Equities,Materials
IPKW,Equity,Global - Emerging Markets Equities,
FPXE,Equity,Global - Developed Markets Equities - Canada & Europe,
FPXI,Equity,Global - Global Equities,
PIE,Equity,Global - Emerging Markets Equities,
PIZ,Equity,Global - Developed Markets Equities,
GCEC,Equity,-,
HEDJ,Equity,Global - Developed Markets Equities - Canada & Europe,
PDN,Equity,Global - Developed Markets Equities,
PXF,Equity,Global - Developed Markets Equities,
PXH,Equity,Global - Emerging Markets Equities,
AOA,Equity,Global - Developed Markets Equities,
DBC,Commodities,Commodities,
EWY,Equity,Global - Developed Markets Equities - Asia,
EIRL,Equity,Global - Developed Markets Equities - Canada & Europe,
EWN,Equity,Global - Developed Markets Equities - Canada & Europe,
PIN,Equity,Global - Emerging Markets Equities - Others,
EWT,Equity,Global - Developed Markets Equities - Asia,
EWW,Equity,Global - Emerging Markets Equities - South America,
GREK,Equity,Global - Developed Markets Equities - Canada & Europe,Financials
EWC,Equity,Global - Developed Markets Equities - Canada & Europe,
EWA,Equity,Global - Developed Markets Equities - Asia,
EWZ,Equity,Global - Emerging Markets Equities - Others,
UAE,Equity,Global - Emerging Markets Equities - Others,
VNM,Equity,Global - Emerging Markets Equities - Asia,
ARGT,Equity,Global - Emerging Markets Equities - South America,
PGAL,Equity,Global - Developed Markets Equities - Canada & Europe,
EIS,Equity,Global - Developed Markets Equities - Canada & Europe,
EWH,Equity,Global - Developed Markets Equities - Asia,
GXC,Equity,Global - Emerging Markets Equities - Asia,
PAK,Equity,Global - Emerging Markets Equities - Others,
EWJ,Equity,Global - Developed Markets Equities - Asia,
EWS,Equity,Global - Developed Markets Equities,
IDX,Equity,Global - Emerging Markets Equities - Asia,
ENZL,Equity,Global - Developed Markets Equities - Asia,
GXG,Equity,Global - Emerging Markets Equities - South America,
QAT,Equity,Global - Emerging Markets Equities - Others,
NGE,Equity,Global - Emerging Markets Equities - Others,
EPU,Equity,Global - Emerging Markets Equities - South America,
EPHE,Equity,Global - Emerging Markets Equities - Asia,
EGPT,Equity,Global - Emerging Markets Equities - Others,
ECH,Equity,Global - Emerging Markets Equities - South America,
THD,Equity,Global - Emerging Markets Equities - Asia,
EWM,Equity,Global - Emerging Markets Equities - Asia,
EFA,Equity,Global - Developed Markets Equities,
EEM,Equity,Global - Emerging Markets Equities,
GLD,Commodities,Commodities - Gold,
IVLU,Equity,Global - Developed Markets Equities,
EFV,Equity,Global - Developed Markets Equities,
IXC,Equity,Global - Global Equities,Energy
AVDV,Equity,Global - Global Equities,
HDEF,Equity,Global - Developed Markets Equities,
ILCV,Equity,US - Large Cap Value Equities,
FGD,Equity,Global - Global Equities,
IMCV,Equity,US - Mid Cap Value Equities,
IQIN,Equity,Global - Developed Markets Equities,
IDOG,Equity,Global - Developed Markets Equities,
DTH,Equity,Global - Developed Markets Equities,
IVAL,Equity,Global - Global Equities,
GVAL,Equity,Global - Developed Markets Equities - Canada & Europe,
FIDI,Equity,Global - Global Equities,
FLKR,Equity,Global - Developed Markets Equities - Asia,
LVHI,Equity,Global - Developed Markets Equities,
KORU,Leveraged Equity,Leveraged Equities,
EWJV,Equity,Global - Developed Markets Equities - Asia,
EUSC,Equity,Global - Developed Markets Equities - Canada & Europe,
KVLE,Equity,US - Large Cap Value Equities,
IWDL,Leveraged Equity,Leveraged Equities,
FIVA,Equity,Global - Global Equities,
ICOW,Equity,Global - Developed Markets Equities,
DIVS,Equity,US - All Cap Equities,
CID,Equity,Global - Global Equities,
EFAS,Equity,Global - Global Equities,
LOPP,Equity,US - All Cap Equities,
ESGN,Equity,Global - Developed Markets Equities,
CFCV,Equity,US - All Cap Equities,
DMDV,Equity,Global - Developed Markets Equities,
SCZ,Equity,Global - Developed Markets Equities,
SCHF,Equity,Global - Developed Markets Equities,
IEFA,Equity,Global - Developed Markets Equities,
IGOV,Bond,Global - Government Bonds,
ISHG,Bond,Global - Government Bonds,
LEMB,Bond,Global - Government Bonds,
PCY,Bond,Global - Government Bonds,
PGHY,Bond,Global - Government Bonds,
PICB,Bond,Global - Corporate Bonds,
WIP,Bond,Global - Government Bonds,
BWX,Bond,Global - Government Bonds,
HYEM,Bond,Global - Corporate Bonds,
CEMB,Bond,Global - Corporate Bonds,
FEMB,Bond,Global - Government Bonds,
BWZ,Bond,Global - Government Bonds,
CBON,Equity,Global - Emerging Markets Equities - Asia,
IHY,Bond,Global - Corporate Bonds,
HYXU,Bond,Global - Corporate Bonds,
EMCB,Bond,Global - Corporate Bonds,
EBND,Bond,Global - Government Bonds,
ELD,Bond,Global - Government Bonds,
EMB,Bond,Global - Government Bonds,
ESEB,Bond,Global - Government Bonds,
EMLC,Bond,Global - Government Bonds,
EMHY,Bond,Global - Government Bonds,
IAGG,Bond,Global - Government Bonds,
GLDM,Commodities,Commodities - Gold,
USO,Commodities,Commodities,
SGOL,Commodities,Commodities - Gold,
PPLT,Commodities,Commodities,
FTGC,Commodities,Commodities,
GSG,Commodities,Commodities,
BAR,Commodities,Commodities - Gold,
UCO,Commodities,Commodities,
GLTR,Commodities,Commodities,
DBA,Commodities,Commodities,
AGQ,Commodities,Commodities,
DJP,Commodities,Commodities,
BCI,Commodities,Commodities,
DBO,Commodities,Commodities,
OUNZ,Commodities,Commodities - Gold,
PALL,Commodities,Commodities,
KRBN,Commodities,Commodities,
DBB,Commodities,Commodities,
AAAU,Commodities,Commodities - Gold,
CPER,Commodities,Commodities,
BNO,Commodities,Commodities,
UGL,Commodities,Commodities - Gold,
UNG,Commodities,Commodities,
COMB,Commodities,Commodities,
COM,Commodities,Commodities,
USCI,Commodities,Commodities,
GCC,Commodities,Commodities,
USL,Commodities,Commodities,
CORN,Commodities,Commodities,
DBP,Commodities,Commodities,
UGA,Commodities,Commodities,
DGP,Commodities,Commodities,
BDRY,Commodities,Commodities,Industrials
FAAR,Commodities,Commodities,
DJCB,Commodities,Commodities,
DBE,Commodities,Commodities,Energy
SOYB,Commodities,Commodities,
CMDY,Commodities,Commodities,
WEAT,Commodities,Commodities,
OILK,Commodities,Commodities,
GRN,Commodities,Commodities,
UCIB,Commodities,Commodities,
PLTM,Commodities,Commodities,
BCM,Commodities,Commodities,
CCRV,Commodities,Commodities,
BCD,Commodities,Commodities,
GLL,Inverse Commodities,Inverse Commodities,
IAUF,Commodities,Commodities,
CANE,Commodities,Commodities,
JJM,Commodities,Commodities,
JJE,Commodities,Commodities,
TAGS,Commodities,Commodities,
UNL,Commodities,Commodities,
SDCI,Commodities,Commodities,
BGLD,Commodities,Commodities,
JJP,Commodities,Commodities,
DZZ,Inverse Commodities,Inverse Commodities,
JJS,Commodities,Commodities,
DGZ,Inverse Commodities,Inverse Commodities,
LD,Commodities,Commodities,
VNQI,Real Estate,US - Real Estate,Real Estate
RWO,Real Estate,Global - Real Estate,Real Estate
RWX,Real Estate,Global - Real Estate,Real Estate
HAUZ,Real Estate,Global - Real Estate,Real Estate
GQRE,Real Estate,Global - Real Estate,Real Estate
IFGL,Real Estate,Global - Real Estate,Real Estate
WPS,Real Estate,Global - Real Estate,Real Estate
DRW,Real Estate,Global - Real Estate,Real Estate
VPN,Real Estate,Global - Real Estate,Real Estate
BLDG,Real Estate,Global - Real Estate,Real Estate
SPRE,Real Estate,Global - Real Estate,Real Estate
FPRO,Real Estate,Global - Real Estate,Real Estate
KWEB,Equity,Global - Emerging Markets Equities - Asia,Technology
EMQQ,Equity,Global - Emerging Markets Equities,Technology
OGIG,Equity,Global - Global Equities,Technology
SNSR,Equity,Global - Global Equities,Technology
IRBO,Equity,US - All Cap Equities,Technology
BLCN,Equity,US - All Cap Equities,Technology
IZRL,Equity,Global - Global Equities,Technology
BUZZ,Equity,US - All Cap Equities,Technology
ITEQ,Equity,Global - Global Equities,Technology
MOON,Equity,US - All Cap Equities,Technology
CWEB,Leveraged Equity,Leveraged Equities,Technology
GAMR,Equity,US - All Cap Equities,Technology
QTUM,Equity,US - All Cap Equities,Technology
LEGR,Equity,US - All Cap Equities,Technology
