Asset Symbol,Asset Class,Asset Sub-Class,Asset Sector
XHE,Equity,US - Large Cap Blend Equities,Healthcare
SUSC,Bond,US - Corporate Bonds,
VTC,Bond,US - Corporate Bonds,
LVHD,Equity,US - Large Cap Value Equities,
SPXU,Inverse Equity,Inverse Equities,
FIW,Equity,US - All Cap Equities,Industrials
CFA,Equity,US - Large Cap Growth Equities,
FXO,Equity,US - All Cap Equities,Financials
SMDV,Equity,US - Small Cap Blend Equities,
PSJ,Equity,US - All Cap Equities,Technology
STPZ,Bond,US - Short Term Government Bonds,
FCOM,Equity,US - Large Cap Growth Equities,Telecom
XNTK,Equity,US - All Cap Equities,Technology
PWV,Equity,US - Large Cap Value Equities,
SMLF,Equity,US - Small Cap Blend Equities,
MLPA,Equity,Global - Global Equities,Energy
XRT,Equity,US - All Cap Equities,Consumer Discretionary
NULV,Equity,US - Large Cap Value Equities,
FDVV,Equity,US - Large Cap Value Equities,
SECT,Equity,US - Large Cap Growth Equities,
UITB,Bond,US - Total Bond Market,
CDC,Equity,US - Large Cap Value Equities,
JMBS,Bond,Mortgage Backed Securities,
FYX,Equity,US - Small Cap Blend Equities,
RDIV,Equity,US - Large Cap Value Equities,
EZM,Equity,US - Small Cap Blend Equities,
IGBH,Bond,US - Corporate Bonds,
KSA,Equity,Global - Emerging Markets Equities - Others,
JPUS,Equity,US - Large Cap Blend Equities,
OUSA,Equity,US - Large Cap Growth Equities,
FENY,Equity,US - All Cap Equities,Energy
KXI,Equity,Global - Global Equities,Consumer Staples
TDTF,Bond,US - Short Term Government Bonds,
LGLV,Equity,US - Large Cap Blend Equities,
IBDR,Bond,US - Corporate Bonds,
MLPX,Equity,Global - Global Equities,Energy
MUNI,Bond,US - Municipal Bonds,
UYG,Leveraged Equity,Leveraged Equities,Financials
AVUS,Equity,US - Large Cap Growth Equities,
SPXS,Inverse Equity,Inverse Equities,
JHSC,Equity,US - Small Cap Growth Equities,
FIDU,Equity,US - All Cap Equities,Industrials
EQAL,Equity,US - All Cap Equities,
EWP,Equity,Global - Developed Markets Equities - Canada & Europe,
EDOC,Equity,Global - Global Equities,Healthcare
AVUV,Equity,US - Small Cap Value Equities,
VTWG,Equity,US - Small Cap Growth Equities,
FTSD,Bond,US - Short Term Government Bonds,
PSQ,Inverse Equity,Inverse Equities,
GTO,Bond,US - Total Bond Market,
VTWV,Equity,US - Small Cap Value Equities,
DRSK,Multi-Asset,Diversified Portfolio,
GSEW,Equity,US - Large Cap Growth Equities,
GUSH,Leveraged Equity,Leveraged Equities,Energy
SPHB,Equity,US - All Cap Equities,
TIPX,Bond,US - Short Term Government Bonds,
NUSC,Equity,US - Small Cap Growth Equities,
TBT,Inverse Debt,Inverse Bonds,
ESML,Equity,US - Small Cap Growth Equities,
IYE,Equity,US - All Cap Equities,Energy
SDOW,Inverse Equity,Inverse Equities,
GNMA,Bond,Mortgage Backed Securities,
ULVM,Equity,US - Large Cap Value Equities,
PFM,Equity,US - Large Cap Value Equities,
DIV,Equity,Global - Global Equities,
BBH,Equity,US - All Cap Equities,Healthcare
RHS,Equity,US - Large Cap Blend Equities,Consumer Staples
NYF,Bond,US - Municipal Bonds,
JPHY,Bond,US - High Yield Bonds,
FNY,Equity,US - All Cap Equities,
PSCH,Equity,US - Small Cap Blend Equities,Healthcare
EES,Equity,US - Small Cap Blend Equities,
CMBS,Bond,Mortgage Backed Securities,
MDIV,Multi-Asset,Diversified Portfolio,
PWZ,Bond,US - Municipal Bonds,
IGHG,Bond,US - Corporate Bonds,
ONEY,Equity,US - All Cap Equities,
ONEV,Equity,US - All Cap Equities,
LQDH,Bond,US - Corporate Bonds,
EPS,Equity,US - Large Cap Growth Equities,
VRIG,Bond,US - Total Bond Market,
