Rebalancing Date:,Portfolio Value:,Portfolio returns:,Portfolio Running High Value:,Portfolio Maximum DrawDown:
2003-01-31,100.0,0.0,100.0,0.0
2003-02-28,96.2546429920921,-0.03745357007907901,104.82832291749217,-0.037453570079078985
2003-03-31,95.55893597874314,-0.0072277761541967855,113.88368011039867,-0.04441064021256864
2003-04-30,104.82832291749217,0.09700178056410125,115.36341747322643,-0.0
2003-05-30,113.88368011039867,0.08638273455956891,123.26033145041757,-0.0
2003-06-30,115.36341747322643,0.012993410130347938,130.09142406615345,-0.0
2003-07-31,123.26033145041757,0.06845249690200839,138.71281239764576,-0.0
2003-08-29,130.09142406615345,0.05542004094385988,140.47991935830046,-0.0
2003-09-30,128.2973053424855,-0.013791214421295162,148.7342760691193,-0.013791214421295193
2003-10-31,138.71281239764576,0.08118258623870878,153.13469990335267,-0.0
2003-11-28,140.47991935830046,0.012739320399538512,159.35423883796045,-0.0
2003-12-31,148.7342760691193,0.058758267719144275,169.83661198765537,-0.0
2004-01-30,153.13469990335267,0.029585808668530555,174.43104805730687,-0.0
2004-02-27,159.35423883796045,0.040614824324814114,175.17095826340986,-0.0
2004-03-31,156.49642157323223,-0.01793373860380454,186.8833498853972,-0.017933738603804577
2004-04-30,145.24493804329077,-0.071896107379531,196.21513142604607,-0.08854047998695998
2004-05-27,145.20887561551592,-0.0002482869851485603,205.65575567656688,-0.08876678352326893
2004-05-28,144.88645279861237,-0.002220407089696508,207.99610720301735,-0.09079009221750084
2004-06-28,141.95340958351838,-0.020243736791395017,222.17274258666785,-0.1091958982787783
2004-07-29,143.2606322429483,0.009208814802442733,245.5794743514025,-0.10099264828077119
2004-07-30,144.26980390854595,0.007044305541568763,250.84344028540067,-0.09465976581114434
2004-08-06,144.55791454301573,0.001997026589517059,270.2679236123759,-0.09285177729090963
2004-09-10,145.8894461587495,0.009211059940530397,272.8408335864983,-0.08449598063659063
2004-09-30,150.03242312661584,0.02839805809776097,278.8236832403014,-0.058497444305974894
2004-10-29,154.22015027987254,0.02791214769438599,285.7943526811663,-0.03221808591680146
2004-11-30,169.83661198765537,0.1012608383498701,290.13707150110145,-0.0
2004-12-30,174.43104805730687,0.02705209445643808,304.61663418133287,-0.0
2004-12-31,175.17095826340986,0.0042418492254883144,325.2790941370321,-0.0
2005-01-31,171.93617342190984,-0.018466444858032727,336.5141564755437,-0.018466444858032758
2005-02-28,186.8833498853972,0.08693444878995216,348.1961872822892,-0.0
2005-03-15,181.55682386810457,-0.028501875745265748,355.59491078244184,-0.028501875745265786
2005-04-11,181.6049825427699,0.00026525400499588514,363.8166717934128,-0.028244181976961318
2005-04-29,173.88417224489066,-0.04251430874734341,365.50430772461203,-0.0695577088514201
2005-05-31,180.1819953545353,0.036218495498112846,366.12470603976203,-0.035858488918201516
2005-06-30,185.46140238329232,0.029300413830854577,394.6613149943431,-0.007608743651999251
2005-07-29,196.21513142604607,0.05798364999165195,456.233688970818,-0.0
2005-08-31,194.55606491098553,-0.008455344412038102,507.0743199314194,-0.008455344412038122
2005-09-30,205.65575567656688,0.057051373703820296,519.5905160121962,-0.0
2005-10-03,205.0818161526302,-0.002790777831860436,527.5529053951509,-0.0027907778318604554
2005-11-10,203.9893515564005,-0.005326969580845997,531.6222657721705,-0.00810288102408926
2005-11-30,207.99610720301735,0.019641984329309636,544.6283268944829,-0.0
2005-12-30,222.17274258666785,0.06815817648843403,616.2310236676517,-0.0
2006-01-31,245.5794743514025,0.10535375083468601,676.2351306332038,-0.0
2006-02-28,242.0248034803894,-0.014474625293507515,738.1282844577545,-0.014474625293507501
2006-03-31,250.84344028540067,0.036436913399769955,742.5716653888727,-0.0
2006-04-28,270.2679236123759,0.0774366804444826,853.8280031458769,-0.0
2006-05-16,272.8408335864983,0.009519849561624438,933.3851902393716,-0.0
2006-05-26,272.2891495834735,-0.002021999404462016,991.1937904589527,-0.0020219994044620607
2006-05-31,267.52834697540374,-0.017484364012860798,1000.1963412337541,-0.01947101004370145
2006-06-01,266.47545226485266,-0.003935637933156544,1000.2935257559196,-0.023330017131133158
2006-08-04,272.37747234711264,0.022148456948274164,1020.6373392288335,-0.0016982840628903804
2006-08-31,278.8236832403014,0.023666461244540304,1048.28725129092,-0.0
2006-09-29,285.7943526811663,0.025000277450812014,1061.5841784564307,-0.0
2006-10-31,290.13707150110145,0.015195257636108517,1112.698366186342,-0.0
2006-11-30,304.61663418133287,0.04990593792553821,1113.6160961311598,-0.0
2006-12-29,325.2790941370321,0.06783102968500132,1136.94044043256,-0.0
2007-01-31,317.9644459022877,-0.022487298958299706,1191.238716880366,-0.02248729895829975
2007-02-28,311.84127894667307,-0.019257395078367767,1220.9210892010074,-0.04131164723638213
2007-03-30,315.827215632297,0.012781940540673498,1252.436480045984,-0.02905774971432143
2007-04-30,336.5141564755437,0.06550081759683302,1288.9011026702965,-0.0
2007-05-31,348.1961872822892,0.03471482724262298,1305.481387361443,-0.0
2007-06-29,355.59491078244184,0.021248720607484284,1339.7919418213787,-0.0
2007-07-31,363.8166717934128,0.02312114364314155,1379.3930507460643,-0.0
2007-08-08,365.50430772461203,0.004638698723948398,1382.8551757583186,-0.0
2007-08-14,366.12470603976203,0.0016973762060759068,1383.3600798979035,-0.0
2007-08-31,394.6613149943431,0.07794231988125366,1384.2256624251404,-0.0
2007-09-28,456.233688970818,0.15601319824659643,1426.3785303472646,-0.0
2007-10-31,507.0743199314194,0.11143550375529876,1644.1149230963608,-0.0
2007-11-30,459.2286713062019,-0.09435628416696096,1800.9192791703886,-0.09435628416696101
2007-12-31,465.1226590322323,0.012834537768005472,2054.1911195449866,-0.082732765691745
2008-01-31,464.3906591785393,-0.0015737780980528138,2173.5152921977515,-0.08417634077516083
2008-02-29,483.2213268792387,0.04054919565783033,2259.507350183195,-0.04704042802918269
2008-03-31,467.7423211599359,-0.03203295231042469,2327.609876927577,-0.07756653655188661
2008-04-30,491.64542187652415,0.05110313870532801,2563.076967976742,-0.030427291322861608
2008-05-30,519.5905160121962,0.056839935636968875,2700.4670898333134,-0.0
2008-06-23,486.14609683523645,-0.06436687765905014,2755.6897274851895,-0.0643668776590501
2008-07-14,527.5529053951509,0.08517359046893258,2858.4921283679387,-0.0
2008-07-17,500.5737202011789,-0.05114024568543296,2909.6892020496234,-0.05114024568543298
2008-07-24,491.3169580815089,-0.018492305420967248,2999.2411137466265,-0.06868685006388187
