0,1,2,3,4,5,6
2003-01-31,False,SPY,-0.02020391745843264,IEF,0.039795237990170484,-0.004699999999999999
2003-02-03,False,SPY,-0.025993327925270537,IEF,0.03769167027559317,-0.005
2003-02-04,False,SPY,-0.03656926524157267,IEF,0.04421488696053588,-0.0052
2003-02-05,False,IVV,-0.061429439667334496,IEF,0.036341505303976174,-0.0049
2003-02-06,False,IVV,-0.07863035410344787,IEF,0.03555843953191795,-0.0051
2003-02-07,False,SPY,-0.07356304858043328,IEF,0.03408428518432105,-0.0052
2003-02-10,False,IVV,-0.06653246264526846,IEF,0.021043346077179503,-0.004699999999999999
2003-02-11,False,SPY,-0.09241024290657684,IEF,0.022361482054947812,-0.0045
2003-02-12,False,SPY,-0.12320513741679362,IEF,0.02271381796648897,-0.004300000000000002
2003-02-13,False,IVV,-0.116572941297022,IEF,0.03439474897423156,-0.0049
2003-02-14,False,IVV,-0.1008828697667079,IEF,0.032245743563815266,-0.0051
2003-02-18,False,SPY,-0.06167150014457379,IEF,0.028605093163285522,-0.0049
2003-02-19,False,IVV,-0.09380771295341284,IEF,0.036222357099277014,-0.0051
2003-02-20,False,SPY,-0.09833553123431538,IEF,0.034465569111719274,-0.005
2003-02-21,False,SPY,-0.09069853477124756,IEF,0.02581407048642026,-0.005
2003-02-24,False,IVV,-0.09604817270006016,IEF,0.029508763184515674,-0.005
2003-02-25,False,SPY,-0.0818917330691048,IEF,0.0275791749853751,-0.005
2003-02-26,False,SPY,-0.0851673808720339,IEF,0.029470828572622843,-0.004699999999999999
2003-02-27,False,IVV,-0.07930633970935896,IEF,0.025294054635766727,-0.004399999999999999
2003-02-28,False,SPY,-0.04680234517999837,IEF,0.029076770544183894,-0.0045
2003-03-03,False,SPY,-0.06838738835509217,IEF,0.025389588082080472,-0.0045
2003-03-04,False,IVV,-0.08582533921278113,IEF,0.023740104658759753,-0.0046
2003-03-05,False,SPY,-0.07619075458317648,IEF,0.03344043844452482,-0.0048
2003-03-06,False,IVV,-0.06947353346151919,IEF,0.03202662261968792,-0.004699999999999999
2003-03-07,False,SPY,-0.08648626289229266,IEF,0.028679459557747533,-0.005099999999999998
2003-03-10,False,IVV,-0.10126629834254164,IEF,0.026078478584431686,-0.0049
2003-03-11,False,IVV,-0.09923659239387028,IEF,0.034851727780967456,-0.0049
2003-03-12,False,SPY,-0.08644476754206909,IEF,0.029044441585788894,-0.0048
2003-03-13,False,SPY,-0.06811864803019618,IEF,0.018110676797260084,-0.0045
2003-03-14,False,IVV,-0.06784626608630695,IEF,0.020463301927121424,-0.004800000000000002
2003-03-17,False,IVV,-0.02997782248550096,IEF,0.008526226314503615,-0.0048
2003-03-18,False,SPY,-0.023492538578056887,IEF,0.004868971827699742,-0.004700000000000002
2003-03-19,False,SPY,0.006637697641486806,IEF,-0.004967908377006558,-0.004100000000000001
2003-03-20,False,SPY,0.0004539893263650896,IEF,0.0014553350256005793,-0.004100000000000001
2003-03-21,False,IVV,0.01891587331530764,IEF,-0.0005736375741527411,-0.004000000000000001
2003-03-24,False,IVV,-0.044986811954560446,IEF,0.009935429035125898,-0.0046
2003-03-25,False,SPY,-0.03814031724319389,IEF,0.027314490379431122,-0.005
2003-03-26,False,IVV,-0.061241153413001626,IEF,0.029720379115683038,-0.0048
2003-03-27,False,SPY,-0.05646047635006146,IEF,0.03714556748083497,-0.0051
2003-03-28,False,SPY,-0.047459438681361155,IEF,0.03577062796068953,-0.0053
2003-03-31,False,SPY,-0.08334343018893953,IEF,0.05131924524538434,-0.0057
2003-04-01,False,IVV,-0.07222141226080936,IEF,0.050467042403857354,-0.0056999999999999985
2003-04-02,False,IVV,-0.049157370995149385,IEF,0.040798546656593215,-0.0055000000000000005
2003-04-03,False,SPY,-0.05660999059572047,IEF,0.03769028147020559,-0.0053999999999999986
2003-04-04,False,SPY,-0.04146484169492348,IEF,0.03136014268856169,-0.005299999999999998
2003-04-07,False,SPY,-0.03936118684657297,IEF,0.02773862850580655,-0.0042000000000000015
2003-04-08,False,IVV,-0.023954847290559633,IEF,0.02233186126754716,-0.0036000000000000008
2003-04-09,False,SPY,-0.02102021735301207,IEF,0.025912136805650743,-0.0038000000000000013
2003-04-10,False,SPY,-0.003563030642118714,IEF,0.017945084461806537,-0.0030000000000000005
2003-04-11,False,SPY,-0.013702808646436138,IEF,0.021439436491965003,-0.0026
2003-04-14,False,SPY,0.03382188728927593,IEF,0.021803098397724652,-0.0023
2003-04-15,False,SPY,0.057920386183405004,IEF,0.028175917595614663,-0.0024
2003-04-16,False,IVV,0.03175080887715054,IEF,0.027071604141879257,-0.0006000000000000005
2003-04-17,False,IVV,0.03953867485145812,IEF,0.015855661440216107,-0.00040000000000000034
2003-04-21,False,IVV,0.06510218452772265,IEF,0.011488348031345241,-0.00040000000000000034
2003-04-22,False,IVV,0.06508603578627814,IEF,0.009150021707703626,-0.00040000000000000034
2003-04-23,False,IVV,0.07276110230197763,IEF,0.011838492028677816,-0.0005000000000000004
2003-04-24,False,SPY,0.07426871859000017,IEF,0.016578017699014902,-0.0006000000000000005
2003-04-25,False,SPY,0.06760870124934137,IEF,0.031142189822199073,-0.0008000000000000007
2003-04-28,False,SPY,0.0912109250920976,IEF,0.02933949395627189,-0.0008000000000000007
2003-04-29,False,IVV,0.10688611332730491,IEF,0.02658119115360691,-0.0008000000000000007
2003-04-30,False,SPY,0.09836012868835087,IEF,0.031951267904817726,-0.0008000000000000007
2003-05-01,False,SPY,0.10587552534411704,IEF,0.03852447058665476,-0.0011999999999999988
