0,1,2,3,4,5,6
2003-01-31,EWT,0.3262265626593681,EWD,0.2961941959086023,SLYG,0.3775792414320297
2003-02-28,EWD,0.23119101766933664,SLYG,0.2947151911930894,TLT,0.474093791137574
2003-03-31,EWL,0.3740555081222368,SLYG,0.32328486629140984,IJS,0.30265962558635323
2003-04-30,EWD,0.2883332194356487,SLYG,0.3675583106556254,IJS,0.34410846990872596
2003-05-30,EWD,0.2883332194356487,SLYG,0.3675583106556254,IJS,0.34410846990872596
2003-06-30,SLYG,0.39420237037367123,EWY,0.29656332512573724,EWD,0.30923430450059136
2003-07-31,EWT,0.30774881579253116,SLYG,0.35619283565170623,EWN,0.33605834855576266
2003-08-29,EWT,0.31871996821847304,SLYG,0.36889100276861175,EEM,0.3123890290129153
2003-09-30,EPP,0.3775406344987579,EWD,0.2993288930890644,EEM,0.3231304724121776
2003-10-31,EEM,0.2985738582472356,EPP,0.3488490672077988,SLYG,0.3525770745449656
2003-11-28,EWD,0.2981260669856972,SLYG,0.38004193120080243,EEM,0.3218320018135004
2003-12-31,EWD,0.2993288930890644,EEM,0.3231304724121776,EPP,0.3775406344987579
2004-01-30,EWD,0.31437538128337805,EEM,0.33937340435301816,EWT,0.3462512143636037
2004-02-27,EWD,0.31437538128337805,EEM,0.33937340435301816,EWT,0.3462512143636037
2004-03-31,EWY,0.2967296365969869,EEM,0.3340107340882848,IJS,0.36925962931472817
2004-04-30,AGG,0.90000000015022,TLT,0.10000000000000006,,
2004-05-27,EWD,0.2993288930890644,EPP,0.3775406344987579,EEM,0.3231304724121776
2004-05-28,EWT,0.3462512143636037,EWD,0.31437538128337805,EEM,0.33937340435301816
2004-06-28,TLT,0.10000000000000005,AGG,0.900000000170798,,
2004-07-29,EPP,0.27995148466991776,TLT,0.45515678840783114,IJS,0.26489172692225116
2004-07-30,EPP,0.27995148466991776,TLT,0.45515678840783114,IJS,0.26489172692225116
2004-08-06,TLT,0.10000000000000017,AGG,0.9000000002215025,,
2004-09-10,EWY,0.31562010173451815,EEM,0.3552745963711938,EWD,0.32910530189428794
2004-09-30,EWD,0.2993288930890644,EPP,0.3775406344987579,EEM,0.3231304724121776
2004-10-29,EPP,0.37754063449875797,EEM,0.3231304724121777,EWD,0.2993288930890645
2004-11-30,EWD,0.2993288930890644,EEM,0.3231304724121776,EPP,0.3775406344987579
2004-12-30,EEM,0.3552745963711938,EWD,0.32910530189428794,EWY,0.31562010173451815
2004-12-31,EEM,0.3231304724121777,EPP,0.37754063449875797,EWD,0.2993288930890645
2005-01-31,EWY,0.29588097230130056,EEM,0.3330554436506744,EWN,0.3710635840480249
2005-02-28,EWY,0.29588097230130056,EEM,0.3330554436506744,EWN,0.3710635840480249
2005-03-15,GLD,0.12633565099675628,AGG,0.7736643485958565,TLT,0.10000000000000003
2005-04-11,EWY,0.31562010173451815,EWD,0.32910530189428794,EEM,0.3552745963711938
2005-04-29,VNQ,0.3331583484884119,EWY,0.313713359913508,EEM,0.35312829159808007
2005-05-31,VNQ,0.2344596272935947,TLT,0.4720781701392142,SLYG,0.293462202567191
2005-06-30,XSVM,0.34059943889250227,VNQ,0.2928517084342208,SLYG,0.36654885267327697
2005-07-29,FXI,0.28279342435955396,EEM,0.34197115441728954,XSVM,0.37523542122315656
2005-08-31,EEM,0.33385240671507393,FXI,0.2760796169680123,EPP,0.3900679763169136
2005-09-30,EEM,0.28965689230900205,EWY,0.2573264138569413,IAU,0.4530166938340566
2005-10-03,GLD,0.10642202666699432,TLT,0.10000000000000003,AGG,0.793577973495669
2005-11-10,EWY,0.2729536064813079,EEM,0.30724748467471497,EWL,0.41979890884397725
2005-11-30,IAU,0.4530166938340566,EWY,0.2573264138569413,EEM,0.28965689230900205
2005-12-30,EWY,0.2573264138569413,IAU,0.4530166938340566,EEM,0.28965689230900205
2006-01-31,FXI,0.24387161863368767,IAU,0.46122386177698455,EEM,0.2949045195893278
2006-02-28,FXI,0.2359314920188631,IAU,0.44620704317051746,EWN,0.3178614648106194
2006-03-31,PGJ,0.24089236883338483,IAU,0.47673711456261536,EWD,0.2823705166039998
2006-04-28,IAU,0.44550337463326334,EWD,0.26387082985857496,EWT,0.2906257955081618
2006-05-16,GLD,0.10000000000000005,AGG,0.7999999971132628,TLT,0.10000000000000006
2006-05-26,IAU,0.41505690976121945,DBC,0.3752173543166351,PGJ,0.2097257359221453
2006-05-31,IAU,0.4714652535327714,FXI,0.2492867434603236,EWD,0.27924800300690494
2006-06-01,GLD,0.1,TLT,0.1,AGG,0.7999999969542934
2006-08-04,FDL,0.4027960500757515,VNQ,0.273833548513511,EWN,0.32337040141073753
2006-08-31,EWN,0.32337040141073753,FDL,0.4027960500757515,VNQ,0.273833548513511
2006-09-29,EWN,0.29810949428235034,RPG,0.3305599007421773,FDL,0.37133060497547243
2006-10-31,EWD,0.2796565473252429,FPX,0.3676153574036847,EPP,0.3527280952710723
2006-11-30,PGJ,0.28874832404905576,EWT,0.3727851075613715,EWD,0.33846656838957273
2006-12-29,FXI,0.2981553359717447,EWD,0.3339900108615846,EWT,0.36785465316667054
2007-01-31,EWD,0.38091533374052106,PGJ,0.324961678624537,SLX,0.2941229876349419
2007-02-28,IAU,0.4234854825107661,SLX,0.19367761343526377,DBC,0.38283690405397014
2007-03-30,SLX,0.254545459442456,EPP,0.4157956131295319,EWD,0.32965892742801206
2007-04-30,EWD,0.304004904280851,SLX,0.23473675849360184,DLS,0.46125833722554715
2007-05-31,SLX,0.2609590403290759,PGJ,0.28832050319996916,RPG,0.450720456470955
2007-06-29,PGJ,0.3047920721708046,EWT,0.393498198759219,QCLN,0.3017097290699765
2007-07-31,FXI,0.33109687184212294,EWY,0.35569335021978576,QCLN,0.3132097779380914
2007-08-08,GLD,0.1,TLT,0.10000000000000003,AGG,0.7999999963752341
2007-08-14,PGJ,0.3228159772438946,EWY,0.3628950998398967,PXI,0.31428892291620864
2007-08-31,FXI,0.31350888414170797,SPEM,0.41532135551223576,SLX,0.27116976034605644
2007-09-28,PGJ,0.2955461241046514,SLX,0.2674989536413103,EPP,0.4369549222540384
2007-10-31,FXI,0.26754895964448755,SPEM,0.3544358779166546,EPP,0.37801516243885785
2007-11-30,PGJ,0.327086844606137,SLX,0.2960464764917635,PBD,0.37686667890209957
2007-12-31,QCLN,0.20804604656391276,IAU,0.4159390929551773,DBC,0.37601486048091
2008-01-31,IAU,0.40164684636148545,DBC,0.3630944661253236,RZV,0.23525868751319076
2008-02-29,IAU,0.4234854825107661,DBC,0.38283690405397014,SLX,0.19367761343526377
2008-03-31,EWT,0.3036087057299555,EWD,0.27565853537939433,DBC,0.4207327588906501
2008-04-30,PGJ,0.2901943185767373,FPX,0.44715064980307795,SLX,0.2626550316201848
2008-05-30,QCLN,0.2803614292252324,FPX,0.4364128980935006,PGJ,0.2832256726812672
2008-06-23,EFU,0.10000000000000034,SH,0.7999999992911231,SRS,0.10000000000000003
2008-07-14,DBC,0.37730757073711996,IAU,0.41736905966110516,PXI,0.20532336960177475
2008-07-17,EFU,0.1,GLD,0.5220165128001506,SH,0.3779834878425617
2008-07-24,FDL,0.38394856348501993,DES,0.30647487626156594,PTH,0.30957656025341407
2008-07-29,EFU,0.10000000000000003,SH,0.37896554634724794,GLD,0.521034453652752
2008-08-04,PTH,0.3095765602534142,FDL,0.38394856348502004,DES,0.306474876261566
2008-08-05,EFU,0.1,SH,0.10000000000000017,BIL,0.8000000004082346
2008-09-05,FDL,0.3746553636953791,EDV,0.3262877647615836,DES,0.2990568715430373
2008-09-12,EFU,0.1,TLT,0.1,AGG,0.8000000001214815
2008-11-17,PZA,0.6384918617744344,EDV,0.21464455138355162,FXI,0.14686358684201392
2008-11-28,EDV,0.3186492392908367,KIE,0.2690086828383397,IAU,0.4123420778708236
2008-12-31,EDV,0.3186492392908367,KIE,0.2690086828383397,IAU,0.4123420778708236
2009-01-30,IAU,0.20564712424687653,PZA,0.47273022327415987,HYG,0.32162265247896377
2009-02-27,IAU,0.12715945860077218,PZA,0.29230712306776807,GVI,0.5805334183314599
2009-03-31,EWT,0.3240654136976203,KIE,0.32408442866064874,DES,0.3518501576417309
2009-04-30,RZV,0.29146583127041037,RPV,0.34552500714126033,FGD,0.3630091615883295
2009-05-29,FGD,0.37075432089780064,RZV,0.2976845429045173,KIE,0.33156113619768224
2009-06-30,RZV,0.32173721489304974,FGD,0.4007109722639625,PGJ,0.27755181284298774
2009-07-31,RZV,0.2976845429045173,KIE,0.33156113619768224,FGD,0.37075432089780064
2009-08-31,KIE,0.3142126448336029,RPV,0.3344322564092026,FGD,0.35135509875719456
2009-09-30,KIE,0.3142126448336029,RPV,0.3344322564092026,FGD,0.35135509875719456
2009-10-30,KIE,0.2906378921534908,EWD,0.2638663301857347,IAU,0.44549577766077436
2009-11-30,IAU,0.3735191005464688,FDL,0.3314356434580963,RPG,0.29504525599543485
2009-12-31,RPG,0.3660850057469471,EWT,0.3023355950265753,PTH,0.3315793992264777
2010-01-29,PTH,0.3469338108823688,RPV,0.33671181071908707,KIE,0.3163543783985442
2010-02-10,EFU,0.10000000000000003,SH,0.42538939966896405,TBT,0.4746106001295324
2010-02-17,PTH,0.32938514401877467,XSVM,0.3230030339950763,SLYG,0.34761182198614893
2010-02-26,KIE,0.30335574157957734,DES,0.3293455533714095,RPG,0.3672987050490132
2010-03-31,KIE,0.30335574157957734,RPG,0.3672987050490132,DES,0.3293455533714095
2010-04-30,DES,0.3553409173690967,EES,0.3420201203645176,VNQ,0.30263896226638576
2010-05-28,EDV,0.31147072697433803,IAU,0.40305285850474587,DES,0.2854764145209162
2010-06-30,EDV,0.16131516972287932,IAU,0.20874687296807062,VCIT,0.6299379573090499
2010-07-30,EWD,0.2751218008733411,FGD,0.3388565350464905,RWX,0.3860216640801684
2010-08-31,EDV,0.3518439735631048,CHIQ,0.2697814536711161,RWX,0.37837457276577907
2010-09-30,CHIQ,0.30005878292309485,EWD,0.29993664103258677,RPG,0.4000045760443184
2010-10-29,RPG,0.3740166494111052,CHIQ,0.28056424185216305,FGD,0.34541910873673193
2010-11-30,RPG,0.38779906145073173,PXI,0.24151775594676636,SLYG,0.370683182602502
2010-12-30,EWT,0.3372718907516725,PXI,0.25434026443218294,RPG,0.4083878448161445
2010-12-31,EWT,0.3372718907516725,PXI,0.25434026443218294,RPG,0.4083878448161445
2011-01-31,PXI,0.22505789160194364,RPG,0.36136986613336747,DBC,0.4135722422646888
2011-02-28,PXI,0.22505789160194364,RPG,0.36136986613336747,DBC,0.4135722422646888
2011-03-31,ICLN,0.33106692038877406,PXI,0.3063649264203604,PBD,0.36256815319086544
2011-04-29,PTH,0.3241818359914107,RPG,0.3579176196374947,XSVM,0.31790054437109466
2011-05-31,PTH,0.3007395598498579,EWL,0.3672246027223444,RPG,0.3320358374277977
2011-06-30,PTH,0.34103324436241234,RPG,0.37652265947028796,CHIQ,0.28244409616729993
2011-07-29,IAU,0.44155458794987673,EDV,0.3412240494157988,PXI,0.21722136263432434
2011-08-31,IAU,0.2456083091538274,EDV,0.18980090821556547,PZA,0.564590782630607
2011-09-30,EDV,0.19520256734536107,PZA,0.5806588140445101,FDL,0.2241386186101287
2011-10-31,KIE,0.30335574157957734,DES,0.3293455533714095,RPG,0.3672987050490132
2011-11-30,KIE,0.2902087048606704,DES,0.3150721525752463,FDL,0.3947191425640833
2011-12-30,FDL,0.39589807741530875,KIE,0.2910754911889613,XSVM,0.3130264313957299
2012-01-31,XSVM,0.34464080888146714,EES,0.3348862767973991,KIE,0.32047291432113373
2012-02-29,EWD,0.2927470239704497,FPX,0.3848231084702656,EWT,0.3224298675592847
2012-03-30,PTH,0.33157351713303096,RPG,0.3660785115370586,KIE,0.3023479713299105
2012-04-30,PTH,0.31724923506947456,KIE,0.2892862598273719,FDL,0.39346450510315356
2012-05-31,EDV,0.2075178272127424,PZA,0.6172923700806446,KIE,0.17518980270661297
2012-06-29,FDL,0.41572961237404216,ICLN,0.24906886420819285,PTH,0.335201523417765
2012-07-31,EWD,0.2563306191364478,FDL,0.3840135053943994,RWX,0.35965587546915284
2012-08-31,EWN,0.30828211197978406,DBC,0.39122097843194575,RPV,0.30049690958827024
2012-09-28,PTH,0.3527279017249427,EWT,0.3216188952005623,SOCL,0.32565320307449513
2012-10-31,CHIQ,0.27741225639244943,RWX,0.38907694566893747,EWN,0.33351079793861305
2012-11-30,EWN,0.33351079793861305,CHIQ,0.27741225639244943,RWX,0.38907694566893747
2012-12-13,TBT,0.2419152701897623,GLD,0.2577559541907756,TLT,0.5003375252489775
2012-12-19,TAN,0.27399801271958873,ICLN,0.3740578964892701,QCLN,0.3519440907911412
2012-12-26,TBT,0.31130608183620667,TLT,0.35337820839058404,AGG,0.3354007543523846
2013-01-02,TAN,0.27399801271958873,ICLN,0.3740578964892701,QCLN,0.3519440907911412
2013-01-31,TAN,0.23213285966450262,QCLN,0.29816927293184775,DXJ,0.46969786740364966
2013-02-28,PBD,0.31128360125010135,QCLN,0.26743437384463964,DXJ,0.4212820249052589
2013-03-28,KIE,0.3505860665260732,QCLN,0.2687916268608625,DES,0.3806223066130643
2013-04-30,ICLN,0.3740578964892701,TAN,0.27399801271958873,QCLN,0.3519440907911412
2013-05-31,TAN,0.27399801271958873,QCLN,0.3519440907911412,ICLN,0.3740578964892701
2013-06-28,QCLN,0.3519440907911412,TAN,0.27399801271958873,ICLN,0.3740578964892701
2013-07-31,TAN,0.2791677117667532,QCLN,0.3585844492841065,PGJ,0.36224783894914037
2013-08-30,PGJ,0.36224783894914037,TAN,0.2791677117667532,QCLN,0.3585844492841065
2013-09-30,TAN,0.27301636869362317,ICLN,0.3727177710781062,PGJ,0.3542658602282706
